序号,代码,名称,行业,最新价,涨跌幅pct,盈利阶段,近两年财务摘要,最新年报年份,营业收入最新,营收同比pct,归母净利最新,归母净利上年,净利同比pct,上年报年份,上年营业收入,主营产品,合作方,业务简介,总股本亿股,总市值亿元,流通市值亿元,股东户数,户数变动,户数变动pct,股东日期,前十大持股pct,持股集中度,换手率pct,量比,近5日均量,前5日均量,五日量能放大,近10日均量,前10日均量,十日量能放大,年内最低,年内最高,年内均价,现价比年内均价,现价比年内低点,年内价格分位pct,筛选理由
52,605069,正和生态,环境治理,9.06,-6.02,减亏阶段,2025年营业收入3.60亿元，同比增长1.04%；归母净利润-1.57亿元，上年为-1.68亿元（同比6.33%）,2025,3.60亿元,1.04,-1.57亿元,-1.68亿元,6.33,2024,3.56亿元,水利工程(90.4%)；水生态保护与修复(13.2%)；其他(补充)(0.1%)；规划设计(-3.7%),北京正和恒基滨水生态环境治理股份有限公司、生态环境科技、公司总部设立在北京市清华科技,"北京正和恒基滨水生态环境治理股份有限公司(简称:正和生态)成立于1997年,定位于“生态环境科技运营商”,是国家高新技术企业,北京市企业技术中心。公司深耕生态环境领域28年,公司坚持以国际领先的7+1共生城市可持续发展理念和NbS(基于自然的解决方案)工作方法为核心,围绕生态环境、城市滨水客厅及文旅景区运营和人工智能三大业务板块,为客户提供“科技+设计+建设",2.12,19.18,19.18,10063,-4730,-31.97,2026-03-31,70.14,非常集中,3.32,1.43,6157354,7478474,0.82,6817914,6721895,1.01,8.63,16.98,12.13,0.75,1.05,5.15,换手3.32%；低于/贴近年内均价；接近年内低点；年内分位5%
53,603896,寿仙谷,中药Ⅱ,14.55,-0.55,盈利阶段,2025年营业收入6.40亿元，同比增长-9.21%；归母净利润1817.43万元，上年为1.74亿元（同比-89.58%）,2025,6.40亿元,-9.21,1817.43万元,1.74亿元,-89.58,2024,7.05亿元,灵芝孢子粉类产品(59.9%)；其他(23.6%)；铁皮石斛类产品(14.7%)；其他(补充)(1.8%),,"浙江寿仙谷医药股份有限公司,寿仙谷药号始建于清宣统元年(1909年),1997年改制,2013年股改为浙江寿仙谷医药股份有限公司,地处中国温泉养生生态产业示范区的浙江省武义县。公司是一家集名贵中药材良种选育、研究、栽培、生产、营销为一体的中华老字号企业、国家高新技术企业、国家重点农业龙头企业、国家级非遗代表性项目保护单位;中国食用菌协会、中国医药教育协会副会",1.98,28.84,28.84,24048,-183,-0.76,2026-03-31,46.65,较集中,1.04,0.87,2956078,3675625,0.8,3315851,2206169,1.5,12.62,23.04,19.22,0.76,1.15,18.52,10日量能放大1.50倍；低于/贴近年内均价；接近年内低点；年内分位19%
54,001230,劲旅环境,环境治理,16.61,-3.82,盈利阶段,2025年营业收入16.70亿元，同比增长8.53%；归母净利润1.69亿元，上年为1.41亿元（同比20.33%）,2025,16.70亿元,8.53,1.69亿元,1.41亿元,20.33,2024,15.39亿元,智慧运营(88.9%)；设备制造与销售(10.8%)；其他(补充)(0.2%),,"劲旅环境科技股份有限公司(股票代码:001230)是致力于城乡环境综合治理的国家高新技术企业。我们以“智能制造、智慧服务、数字平台、先进机器人”四轮驱动为核心战略,构建起覆盖技术研发、产品创新、精益生产与智慧服务的完整产业生态链。深耕行业二十余载,劲旅环境始终以数字化、智能化驱动产业升级。我们提供的不仅是单一产品,更是覆盖城乡环卫一体化、水域管护、市政管养及",1.88,31.19,18.27,11310,-1711,-13.14,2026-03-31,64.06,非常集中,3.44,0.69,6918512,13659815,0.51,10289164,6222763,1.65,14.94,29.5,23.43,0.71,1.11,11.47,10日量能放大1.65倍；换手3.44%；低于/贴近年内均价；接近年内低点；年内分位11%
55,603365,水星家纺,服装家纺,18.65,0.81,盈利阶段,2025年营业收入45.28亿元，同比增长7.99%；归母净利润4.07亿元，上年为3.67亿元（同比10.96%）,2025,45.28亿元,7.99,4.07亿元,3.67亿元,10.96,2024,41.93亿元,被子(48.3%)；套件(32.7%)；其它(9.4%)；枕芯(9.4%)；其他(补充)(0.1%),上海水星家用纺织品股份有限公司、是水星控股集团、下辖上海水星电子商务有限公司、公司高度重视科技,"上海水星家用纺织品股份有限公司前身创建于1987年,是水星控股集团下属主要成员企业,中国现代家纺业的重要奠基者。公司秉承着“让家人睡个好觉”的企业使命,“好被芯选水星”的品牌主张,致力于通过“智造睡眠”理念为消费者提供兼顾「舒适与美学」的健康睡眠床品,经过三十多年的发展,已经成为集研发、设计、生产、销售于一体,专业化,多品牌的现代化企业,综合实力居行业领先地",2.62,48.96,48.7,6815,-480,-6.58,2026-03-31,65.35,非常集中,0.79,1.55,1690516,3586998,0.47,2638757,1397488,1.89,15.5,25.13,19.34,0.96,1.2,32.71,10日量能放大1.89倍；低于/贴近年内均价；接近年内低点；年内分位33%
56,001259,利仁科技,小家电,38.73,-7.39,盈利阶段,2025年营业收入4.34亿元，同比增长13.91%；归母净利润931.48万元，上年为1083.22万元（同比-14.01%）,2025,4.34亿元,13.91,931.48万元,1083.22万元,-14.01,2024,3.81亿元,厨房小家电电饼铛类(51.1%)；厨房小家电多功能锅类(19.5%)；厨房小家电其他(13.6%)；其他(7.2%)；厨房小家电空气炸锅类(6.4%),,"北京利仁科技股份有限公司1995年研发并生产了中国第一台家用电饼铛,作为中国电饼铛的开拓者,利仁电饼铛得到了消费者的高度认可,在行业内享有“电饼铛专家”的美誉。三十年来,利仁一直专注于从事厨房小家电与家居小家电系列产品研发、设计、生产与销售,以自主品牌“利仁Liven”系列产品为核心,致力于为消费者提供高品质生活的创新型小家电企业。目前公司有五大产品系列:高",0.74,28.5,18.41,5559,165,3.06,2026-03-31,73.77,非常集中,2.87,1.07,1599866,2611240,0.61,2105553,1398086,1.51,23.78,90,37.43,1.03,1.63,22.58,10日量能放大1.51倍；年内分位23%
57,603068,博通集成,半导体,35.75,-9.99,扭亏阶段,2025年营业收入9.18亿元，同比增长10.87%；归母净利润2223.78万元，上年为-2472.49万元（同比189.94%）,2025,9.18亿元,10.87,2223.78万元,-2472.49万元,189.94,2024,8.28亿元,无线数传类(81.8%)；无线音频类(18.2%),股份有限公司,"博通集成电路(上海)股份有限公司(股票代码:603068.SH)是全球领先的无线连接芯片设计企业,致力于为物联网应用提供尖端芯片解决方案。公司成立于2004年,始终坚持以技术创新驱动发展,引领物联网时代互联互通的未来。博通集成电路凭借世界一流的RF-CMOS集成电路设计能力和先进的数字信号处理技术,为客户提供高性能、低功耗的系统级芯片(SoC)解决方案,广泛",1.52,54.26,54.26,35876,-6627,-15.59,2026-03-31,41.81,较分散,11.57,1.9,11593347,10489102,1.11,11041224,10313587,1.07,30.15,51.38,37.25,0.96,1.19,26.38,换手11.57%；低于/贴近年内均价；接近年内低点；年内分位26%
58,000995,皇台酒业,白酒Ⅱ,10.47,3.15,盈利阶段,2025年营业收入1.70亿元，同比增长-1.53%；归母净利润1412.12万元，上年为2770.03万元（同比-49.02%）,2025,1.70亿元,-1.53,1412.12万元,2770.03万元,-49.02,2024,1.72亿元,粮食白酒(95.0%)；葡萄酒(3.1%)；鲜葡萄(1.2%)；其他(补充)(0.7%),,"甘肃皇台酒业股份有限公司始建于1985年,于2000年8月在深圳证券交易所上市,股票名称:皇台酒业,股票代码:000995。主要经营白酒、葡萄酒的生产与销售,是甘肃省内一家集名优白酒、名优葡萄酒于一身的上市公司,是全国19家酿酒板块上市公司之一。“凉州皇台”获中国驰名商标,“凉州皇台酒”荣获包括第二届巴拿马特别金奖在内的国际、国内酒类奖项100多项。1993",1.77,18.57,18.57,47637,10062,26.78,2026-03-31,40.51,较分散,14.39,2.58,12420421,13972780,0.89,13196601,10239266,1.29,8.81,21.2,13.53,0.77,1.19,13.4,换手14.39%；低于/贴近年内均价；接近年内低点；年内分位13%
59,605033,美邦股份,农化制品,18.7,10,盈利阶段,2025年营业收入9.12亿元，同比增长2.98%；归母净利润4866.47万元，上年为3685.93万元（同比32.03%）,2025,9.12亿元,2.98,4866.47万元,3685.93万元,32.03,2024,8.86亿元,杀菌剂(62.7%)；杀虫剂(26.3%)；其他(10.8%)；其他(补充)(0.2%),陕西美邦药业集团股份有限公司、公司始终站在农药行业科技,"陕西美邦药业集团股份有限公司于1998年成立,位于陕西省渭南经开区新材料产业聚集区,作为上海证券交易所主板上市企业(股票代码605033),在新型安全环保农药领域精耕细作,业务覆盖研发、生产、销售及农业技术推广服务。产品涵盖杀虫剂、杀菌剂、植物生长调节剂等,广泛应用于大田、瓜果、蔬菜、花卉等农作物生长各个环节,拥有丰富产品与证件资源。公司是国家高新技术企业,",1.35,25.28,25.28,12508,-4067,-24.54,2026-06-30,73.69,非常集中,3.05,3.32,1571826,2016393,0.78,1794110,1930179,0.93,15.81,34.69,21.51,0.87,1.18,15.31,换手3.05%；低于/贴近年内均价；接近年内低点；年内分位15%
60,002857,三晖电气,电网设备,15.11,-2.52,转亏阶段,2025年营业收入3.63亿元，同比增长-46.74%；归母净利润-4194.14万元，上年为1809.97万元（同比-331.72%）,2025,3.63亿元,-46.74,-4194.14万元,1809.97万元,-331.72,2024,6.81亿元,储能设备(48.9%)；电能计量配套产品系列(33.4%)；电能表标准与校验装置产品系列(14.3%)；其他(补充)(2.4%)；康养机器人(0.9%),市级科技,"郑州三晖电气股份有限公司(以下称“三晖电气”,股票代码002857)2017年3月23日在深交所中小板挂牌上市。郑州三晖电气股份有限公司创建于1996年,主要从事电能计量仪器仪表的研发、设计、生产和销售,能为智能电网计量器具用户、生产企业和检定机构提供标准与校验综合解决方案。现已形成由电能计量装置、电力互感器和电力负荷管理采集终端三大产业块。产品全部服务于国",1.31,19.74,19.43,12677,571,4.72,2026-03-31,44.58,非常集中,2.35,1.1,3457691,5678772,0.61,4568231,2776796,1.65,13.8,31.2,22.01,0.69,1.09,7.53,10日量能放大1.65倍；低于/贴近年内均价；接近年内低点；年内分位8%
61,600573,惠泉啤酒,非白酒,9.65,-0.21,盈利阶段,2025年营业收入6.40亿元，同比增长-1.05%；归母净利润7999.05万元，上年为6483.02万元（同比23.38%）,2025,6.40亿元,-1.05,7999.05万元,6483.02万元,23.38,2024,6.47亿元,啤酒(96.9%)；其他(补充)(3.1%),依靠科技,"福建省燕京惠泉啤酒股份有限公司位于东南沿海——海峡西岸经济区泉州市惠安县境内,是中国十佳啤酒企业之一,也是中国啤酒行业第六家、福建省惟一一家啤酒上市公司。公司现拥有惠安本埠、福建福鼎、江西抚州三个啤酒生产基地,总生产规模设计年产能力80万吨,现实际产能55万吨啤酒,是地方举足轻重的支柱企业和纳税大户。先后被授予“全国五一劳动奖状”、“全国质量管理先进单位”、",2.5,24.13,24.13,19909,-2821,-12.41,2026-03-31,57.17,较集中,4.13,1.78,7282607,8430846,0.86,7856726,7937116,0.99,8.61,15.59,11.89,0.81,1.12,14.9,换手4.13%；低于/贴近年内均价；接近年内低点；年内分位15%
62,600706,曲江文旅,旅游及景区,7.45,2.76,亏损阶段,2025年营业收入9.67亿元，同比增长-22.83%；归母净利润-1.96亿元，上年为-1.31亿元（同比-49.43%）,2025,9.67亿元,-22.83,-1.96亿元,-1.31亿元,-49.43,2024,12.53亿元,景区运营管理(45.4%)；酒店餐饮(24.8%)；体育项目(18.2%)；旅游服务(旅行社)(8.4%)；数字科技(1.7%),西安曲江文化旅游股份有限公司,"西安曲江文化旅游股份有限公司是隶属于西安曲江新区管理委员会旗下西安曲江文化产业投资(集团)有限公司的国有控股上市公司。曲江文旅持续深化“基于传统文化IP的现代旅游产业链集成运营体系”的建设工作,夯实“资源开发+产品开发+市场开发+项目开发+产业发展+品牌运营”的核心能力,讲好中国故事,新著古都(古城、古镇)文脉,展现可信、可爱、可敬的中国形象。",2.55,19,18.93,33392,-5314,-13.73,2026-03-31,46.57,较分散,5.23,2.2,7592580,8321031,0.91,7956806,7652038,1.04,6.42,14.29,9.93,0.75,1.16,13.09,换手5.23%；低于/贴近年内均价；接近年内低点；年内分位13%
63,002995,天地在线,广告营销,16.61,1.1,亏损阶段,2025年营业收入11.31亿元，同比增长-15.48%；归母净利润-1.28亿元，上年为-6754.39万元（同比-89.91%）,2025,11.31亿元,-15.48,-1.28亿元,-6754.39万元,-89.91,2024,13.38亿元,数字化营销服务(90.5%)；数智化综合服务(9.3%)；其他(0.2%),,"北京全时天地在线网络信息股份有限公司成立于2005年,是国内早期从事企业互联网服务的机构。总部位于北京,先后在安徽、陕西、河北、深圳、四川等地成立多家分、子公司,形成覆盖全国的、服务企业级客户的营销服务网络。天地在线与腾讯、360、爱奇艺、字节跳动等众多知名互联网公司深入合作,整合主流互联网媒体资源。累计为超过100,000家企业级客户提供互联网营销及Saa",1.77,29.48,18.67,32622,5113,18.59,2026-03-31,55.59,较分散,17.56,2.92,8502028,8620324,0.99,8561176,11211134,0.76,13.7,38.56,20.48,0.81,1.21,11.71,换手17.56%；低于/贴近年内均价；接近年内低点；年内分位12%
64,603324,盛剑科技,环保设备Ⅱ,23.26,-8.14,转亏阶段,2025年营业收入11.26亿元，同比增长-22.42%；归母净利润-1710.96万元，上年为1.20亿元（同比-114.27%）,2025,11.26亿元,-22.42,-1710.96万元,1.20亿元,-114.27,2024,14.51亿元,绿色厂务系统(67.9%)；设备及关键零部件产品(27.4%)；电子化学品材料(4.4%)；其他(补充)(0.2%),是中国高科技产业知名的绿色科技、新能源等高科技、为绿色企业提供科技、励志发展成为全球领先的绿色科技,"上海盛剑科技股份有限公司创立于2005年,是中国高科技产业知名的绿色科技服务商,于2021年4月在上海证券交易所主板上市(股票代码:603324)。公司以“致力于美好环境”为企业使命,持续秉持“行业延伸+产品延伸”的发展方针,已形成“绿色厂务系统解决方案、半导体附属装备及核心零部件、电子化学品材料”主营业务三驾马车。公司深度布局中国半导体产业集聚区,总部位于",1.48,34.35,34.35,14625,-1750,-10.69,2026-03-31,68.12,较集中,4.51,1.36,6160371,7787024,0.79,6973697,7580031,0.92,22.61,56.39,27.92,0.83,1.03,1.92,换手4.51%；低于/贴近年内均价；接近年内低点；年内分位2%
65,002820,桂发祥,休闲食品,8.67,-0.34,转亏阶段,2025年营业收入4.71亿元，同比增长-4.93%；归母净利润-2452.53万元，上年为2707.30万元（同比-190.59%）,2025,4.71亿元,-4.93,-2452.53万元,2707.30万元,-190.59,2024,4.96亿元,麻花产品(66.5%)；外采食品(15.2%)；糕点及方便食品(12.0%)；OEM产品(5.2%)；其他(补充)(1.1%),,"天津桂发祥十八街麻花食品股份有限公司是中华老字号企业,主要从事传统特色及其他休闲食品的研发、生产和销售。公司的产品包括以十八街麻花为代表的传统特色休闲食品,以及糕点、节令食品、面包、甘栗、果仁等休闲食品。主打产品“桂发祥十八街”系列麻花,荣获首届“2015中国特色旅游商品评选活动”金奖,其制作技艺入选国家级非物质文化遗产代表性项目名录,以其酥脆香甜、久放不绵",2.01,17.42,17.42,26668,-4136,-13.43,2026-03-31,40.83,较集中,4.51,1.7,6713038,8626622,0.78,7669830,5552252,1.38,7.66,17.39,11.6,0.75,1.13,10.38,换手4.51%；低于/贴近年内均价；接近年内低点；年内分位10%
66,603334,丰倍生物,化学制品,32.09,0.94,盈利阶段,2025年营业收入31.71亿元，同比增长62.77%；归母净利润1.41亿元，上年为1.24亿元（同比13.52%）,2025,31.71亿元,62.77,1.41亿元,1.24亿元,13.52,2024,19.48亿元,生物基材料(76.8%)；生物燃料(12.4%)；油脂化学品(10.6%)；其他(补充)(0.2%),海新能科、嘉澳环保、山东海科化工有限公司,"苏州丰倍生物科技股份有限公司是一家天然油脂资源综合利用领域的高新技术企业,主要以天然油脂生产资源化产品。基于长期的研发投入和产业实践,公司在天然油脂资源综合利用的深度及广度上不断拓展,形成了“工业油脂—生物燃料(生物柴油)—生物基材料”的油脂资源再生产业链。此外,公司还依托自身油脂综合利用核心技术和渠道优势为客户提供油脂化学品。公司主营业务以天然油脂资源综合",1.44,46.05,10.21,17894,-762,-4.08,2026-03-31,78.1,较集中,7.38,2.48,1188420,2225365,0.53,1706892,1604920,1.06,29.6,76,46.23,0.69,1.08,5.37,换手7.38%；低于/贴近年内均价；接近年内低点；年内分位5%
67,001396,誉帆科技,基础建设,32.04,0.72,盈利阶段,2025年营业收入7.59亿元，同比增长3.98%；归母净利润1.25亿元，上年为1.27亿元（同比-1.74%）,2025,7.59亿元,3.98,1.25亿元,1.27亿元,-1.74,2024,7.30亿元,修复类(53.5%)；检测及专项调查类(28.9%)；养护类(11.3%)；整车销售(3.8%)；材料销售及其他(2.5%),上海誉帆环境科技股份有限公司、并获得了自然资源部科技、上海市科技、北京市科技、华夏奖等重大科技、依托绿色科技和智能科技,"上海誉帆环境科技股份有限公司(简称“誉帆科技”)于2012年成立,是地下供排水管网运营维护的国家级高新技术企业,为政府相关权属单位提供服务,业务范围覆盖全产业链,包括上游的新型柔性材料制造、特种设备制造,中游的智慧化运营,以及下游的检测评估与调查、非开挖修复等。誉帆科技先后承担了国家级和省市级的重大科技课题的研发,并获得了自然资源部科技进步奖、上海市科技进步",1.07,34.25,7.28,15592,-15807,-50.34,2026-03-31,79.54,较集中,5.11,1.83,794548,1087685,0.73,941117,1398950,0.67,29.1,64.5,43.43,0.74,1.1,8.31,换手5.11%；低于/贴近年内均价；接近年内低点；年内分位8%
68,603214,爱婴室,专业连锁Ⅱ,12.68,-0.7,盈利阶段,2025年营业收入37.82亿元，同比增长9.09%；归母净利润8145.68万元，上年为1.06亿元（同比-23.45%）,2025,37.82亿元,9.09,8145.68万元,1.06亿元,-23.45,2024,34.67亿元,奶粉(61.9%)；用品(13.8%)；食品(9.4%)；棉纺(6.1%)；供应商服务(5.6%),关系、双方将在营造数字化营销,"上海爱婴室商务服务股份有限公司创立于1997年,总部位于上海市,公司全称为上海爱婴室商务服务股份有限公司。爱婴室是一家经营母婴商品与母婴服务的专业连锁企业,为孕前及0-6岁婴幼儿家庭提供全品类母婴商品及服务。公司以母婴产品、服务以及消费者体验为核心,坚持“渠道+品牌+多产业”三大发展战略,通过“会员营销+全渠道布局”,聚焦母婴市场以提供高品质、高性价比的商品",1.39,17.57,17.57,21923,-84,-0.38,2026-03-31,41.34,较集中,1.72,1,3002800,4318962,0.7,3660881,2432450,1.51,11.62,22.52,16.93,0.75,1.09,9.72,10日量能放大1.51倍；低于/贴近年内均价；接近年内低点；年内分位10%
69,002778,中晟高科,环境治理,13.97,-3.66,扭亏阶段,2025年营业收入1.94亿元，同比增长-60.63%；归母净利润7373.31万元，上年为-1.70亿元（同比143.3%）,2025,1.94亿元,-60.63,7373.31万元,-1.70亿元,143.3,2024,4.93亿元,污水处理设施委托运营业务(65.9%)；环境工程业务(31.2%)；环境咨询服务(2.4%)；其他(补充)(0.5%),宝钢、沙钢、攀钢、马钢、萍钢、徐工集团、恒立液压、山河智能、奥克斯、保变电气、钱江电气、瓦克化学、金风科技等,"江苏中晟高科环境股份有限公司成立于1992年,坐落于长三角中心城市无锡,是一家由苏州市吴中区国资控股的上市公司(股票代码:002778)。目前公司实行润滑油业务与环保业务双主业运行。公司业务主要包含润滑油、环保两大板块,是国内润滑油行业先驱企业和知名生态环境综合服务商,被评为中国润滑油行业十强、年度最具影响力民族品牌、国家火炬项目非金属材料产业基地、生态环境",1.25,17.43,17.24,10372,-1055,-9.23,2026-03-31,42.41,非常集中,3.68,2.61,2184058,2628938,0.83,2406498,2079353,1.16,13.04,24.3,19.79,0.71,1.07,8.26,换手3.68%；低于/贴近年内均价；接近年内低点；年内分位8%
70,002943,宇晶股份,通用设备,26.27,-7.04,扭亏阶段,2025年营业收入8.35亿元，同比增长-19.56%；归母净利润1315.31万元，上年为-3.75亿元（同比103.51%）,2025,8.35亿元,-19.56,1315.31万元,-3.75亿元,103.51,2024,10.38亿元,高精密数控切、磨、抛设备(73.2%)；硅片及切片加工服务(17.1%)；其他(5.9%)；热场系统系列产品(1.7%)；设备改造及服务(1.1%),湖南宇晶机器股份有限公司,"湖南宇晶机器股份有限公司成立于1998年,是一家专注光伏、新能源汽车与消费电子行业的智能装备制造企业,公司主要从事多线切割机、研磨抛光机等硬脆材料加工装备、金刚石线、热场系统及光伏硅片系列产品的研发、生产和销售。公司产品主要用于太阳能光伏硅片、蓝宝石、碳化硅、手机触摸屏及后盖、视窗玻璃、LED照明、磁性材料、压电水晶及陶瓷等硬脆材料的精密加工,广泛应用于光伏",2.67,70.1,49.61,17596,4455,33.9,2026-03-31,52.66,较集中,5.1,1.21,10033249,12894916,0.78,11464082,12745249,0.9,25.88,95.6,47.64,0.55,1.02,0.56,换手5.10%；低于/贴近年内均价；接近年内低点；年内分位1%
71,600661,昂立教育,教育,8.48,4.05,扭亏阶段,2025年营业收入13.73亿元，同比增长11.63%；归母净利润8657.02万元，上年为-4858.47万元（同比278.18%）,2025,13.73亿元,11.63,8657.02万元,-4858.47万元,278.18,2024,12.30亿元,青少儿素质教育(53.8%)；高中业务(30.9%)；国际与基础教育(8.7%)；职业及成人教育(5.5%)；其他(1.2%),上海交大南洋股份有限公司、上海新南洋股份有限公司,"上海新南洋昂立教育科技股份有限公司(曾用名:上海交大南洋股份有限公司、上海新南洋股份有限公司)由上海交通大学发起和组建,1992年7月30日经上海市人民政府教育卫生办公室批准设立,1993年6月14日在上海证券交易所上市。2014年,公司完成重大资产重组,收购上海昂立教育科技集团有限公司全部股份。2018年,公司更名为上海新南洋昂立教育科技股份有限公司,公司",2.87,24.3,24.3,21273,-1427,-6.29,2026-03-31,44.73,较集中,5.5,2.45,8073291,7861552,1.03,7967422,9615967,0.83,6.75,12.53,9.99,0.85,1.26,29.93,换手5.50%；低于/贴近年内均价；年内分位30%
72,603382,海阳科技,化学纤维,18.6,9.99,盈利阶段,2025年营业收入42.76亿元，同比增长-22.85%；归母净利润1.15亿元，上年为1.66亿元（同比-30.74%）,2025,42.76亿元,-22.85,1.15亿元,1.66亿元,-30.74,2024,55.42亿元,尼龙6切片(58.4%)；帘子布(36.5%)；尼龙6丝线(4.9%)；其他(补充)(0.3%),金发科技、正新集团,"海阳科技股份有限公司地处江苏省泰州市,上世纪七十年代建厂。经过50多年耕耘,建成为锦纶(尼龙)6切片、轮胎骨架材料浸胶帘子布、锦纶6工业纤维三大产品系列,集研发、生产、营销一体面向全球的民营科技型企业。公司现拥有江苏海阳锦纶新材料有限公司、江苏同欣化纤有限公司、江苏华恒新材料有限公司、海阳科技(江苏)研究院有限公司等多家子公司和控股公司。 半个多世纪的专注积",1.81,33.71,21.48,15694,-1016,-6.08,2026-03-31,57.01,较集中,3.35,3.25,1495413,2372181,0.63,1933797,1667196,1.16,15.82,43.48,29.2,0.64,1.18,10.05,换手3.35%；低于/贴近年内均价；接近年内低点；年内分位10%
73,001325,元创股份,橡胶,35.61,1.48,盈利阶段,2025年营业收入14.32亿元，同比增长6.12%；归母净利润1.58亿元，上年为1.55亿元（同比2.03%）,2025,14.32亿元,6.12,1.58亿元,1.55亿元,2.03,2024,13.49亿元,农用带(56.8%)；工程带(36.5%)；履带板(5.0%)；其他(补充)(0.9%)；其他产品(0.7%),沃得农机、潍柴雷沃、三一重工、徐工机械、中联重机、洋马集团,"元创科技股份有限公司公司位于台州市三门县,是一家专业从事研发、生产、销售橡胶履带类产品的企业,主要产品包括农用机械橡胶履带、工程机械橡胶履带和橡胶履带板,产品国内市场占有率排名第一。公司是橡胶履带国家标准起草单位之一,先后参与制定了GB/T20786-2015《橡胶履带》和GB/T34232-2017《橡胶履带板》两项国家标准,技术实力获得行业广泛认可。近年",0.78,27.92,6.98,12084,-5423,-30.98,2026-03-31,75.6,非常集中,4.29,1.84,574505,873995,0.66,724250,877602,0.83,32.47,79,48.69,0.73,1.1,6.75,换手4.29%；低于/贴近年内均价；接近年内低点；年内分位7%
74,002159,三特索道,旅游及景区,13.09,2.03,盈利阶段,2025年营业收入6.38亿元，同比增长-7.81%；归母净利润1.43亿元，上年为1.42亿元（同比0.96%）,2025,6.38亿元,-7.81,1.43亿元,1.42亿元,0.96,2024,6.92亿元,索道营运(80.1%)；景区门票(13.8%)；其他(补充)(4.2%)；酒店餐饮(1.3%)；温泉业务(0.7%),三特集团、是武汉市第一批股份制改革试点的高科技、充分利用当代集团、世界知名的旅游集团,"武汉三特索道集团股份有限公司(以下简称“三特集团”)成立于1989年,是武汉市第一批股份制改革试点的高科技企业。三十年来,三特集团发展成为聚焦索道、专注山水生态型景区的旅游上市企业(股票代码:002159.SZ),先后在全国范围内投资、建设、经营了20多个索道和景区项目,包括陕西华山索道、浙江千岛湖索道、贵州梵净山景区、海南猴岛景区等一批优质项目。投资运营的",1.77,23.21,18.13,11554,-1949,-14.43,2026-03-31,56.53,非常集中,3.04,1.9,2782561,3535263,0.79,3158912,3074408,1.03,12.05,21.62,15.8,0.83,1.09,10.87,换手3.04%；低于/贴近年内均价；接近年内低点；年内分位11%
75,002380,科远智慧,IT服务Ⅱ,25.97,-4.87,盈利阶段,2025年营业收入18.67亿元，同比增长10.97%；归母净利润1.39亿元，上年为2.52亿元（同比-44.85%）,2025,18.67亿元,10.97,1.39亿元,2.52亿元,-44.85,2024,16.82亿元,工业自动化(81.6%)；工业AI(14.3%)；工业机器人(3.1%)；其他(1.1%),,"南京科远智慧科技集团股份有限公司(简称:科远智慧)创立于1993年5月,2010年3月深交所上市(股票代码:002380),中国领先的自动化、信息化、智能化技术、产品、解决方案供应商,智慧产业建设引领者。围绕“3060”碳达峰、碳中和目标,业务涉及“智慧工业”、“智慧城市”等板块。",2.4,62.33,36.93,21244,-4787,-18.39,2026-03-31,60.76,较集中,4.09,1.41,5207280,7693181,0.68,6450230,5550811,1.16,23.58,51.06,31.02,0.84,1.1,8.7,换手4.09%；低于/贴近年内均价；接近年内低点；年内分位9%
76,001279,强邦新材,包装印刷,24.5,3.2,盈利阶段,2025年营业收入14.82亿元，同比增长0.21%；归母净利润5352.05万元，上年为8231.62万元（同比-34.98%）,2025,14.82亿元,0.21,5352.05万元,8231.62万元,-34.98,2024,14.79亿元,胶印版材(90.4%)；柔性版材(6.3%)；其他(3.3%),郭良春家族创立上海强邦印刷器材有限公司、安徽强邦印刷材料有限公司,"安徽强邦新材料股份有限公司是一家专注于感光材料领域的高新技术企业、国家级专精特新“小巨人”企业。自2010年成立以来,公司始终致力于感光材料在印刷版材领域应用的研发、生产与销售,现已成为行业内颇具影响力的领导者。公司发展历程:2003年,郭良春家族创立上海强邦印刷器材有限公司,通过CTP胶印版材参与竞争,市场占有率不断的提升。2010年,安徽强邦印刷材料有限",1.6,39.2,9.8,16530,-65,-0.39,2026-03-31,76.34,较集中,5.47,4.4,628478,1144159,0.55,886319,944995,0.94,22.62,42.9,34.29,0.71,1.08,9.27,换手5.47%；低于/贴近年内均价；接近年内低点；年内分位9%
77,603255,鼎际得,化学制品,25.96,4.22,扭亏阶段,2025年营业收入8.41亿元，同比增长7.66%；归母净利润1142.12万元，上年为-1213.21万元（同比194.14%）,2025,8.41亿元,7.66,1142.12万元,-1213.21万元,194.14,2024,7.81亿元,抗氧剂单剂(48.1%)；复合助剂(32.0%)；催化剂(16.4%)；其他(2.4%)；POE(1.0%),国家能源集团,"辽宁鼎际得石化股份有限公司是一家上交所主板挂牌上市的股份制公司(股票简称:鼎际得,股票代码:603255)。公司创建于2004年,位于辽宁省营口市。主营聚丙烯催化剂、聚乙烯催化剂、给电子体、抗氧剂、复合抗氧剂及其他聚烯烃用助剂,是国内一家集聚烯烃催化剂及后期添加剂一体的综合性研发、生产、销售的高新技术企业。""十八载砥砺奋进,十八载春华秋实"",现已成为中石油一",1.35,34.94,15.75,7532,818,12.18,2026-03-31,75.48,非常集中,3.76,1.92,1489038,2413176,0.62,1951107,2203049,0.89,23.61,40.95,32.16,0.81,1.1,13.55,换手3.76%；低于/贴近年内均价；接近年内低点；年内分位14%
